"Stock","Lag","autocorr_level","autocorr_log","autocorr_ar_level","autocorr_ar_log"
"AXP",0,1,1,1,1
"AXP",1,0.660234349282297,0.857691462628338,0.660177453787544,0.857838847905181
"AXP",2,0.648112282453652,0.83474547775511,0.435834270489404,0.735887488975288
"AXP",3,0.588717870290504,0.81729498841393,0.287727958965046,0.631272875730397
"AXP",4,0.571671745292198,0.805959973790339,0.189951511333031,0.541530396430355
"AXP",5,0.559876587130985,0.796167408809196,0.125401705094936,0.464545811379451
"AXP",6,0.565981773678995,0.788710494058034,0.0827873783701914,0.398505443632926
"AXP",7,0.559193528853282,0.780401781538805,0.0546543606581789,0.341853450650012
"AXP",8,0.527254324484371,0.779289828928818,0.0360815766577027,0.293255170258017
"AXP",9,0.562588563196131,0.777918454286581,0.0238202434065222,0.251565677396375
"AXP",10,0.516799483224347,0.771499354731143,0.0157255876407174,0.215802810870193
"AXP",11,0.48293892868137,0.76950332284437,0.0103816784079616,0.185124034651586
"AXP",12,0.502120884909909,0.761703199944722,0.00685375001740924,0.158806588605075
"AXP",13,0.511821677477523,0.755346016741844,0.00452469123538956,0.13623046100873
"AXP",14,0.494152867481615,0.749176274161055,0.0029870991389543,0.11686378172132
"AXP",15,0.529670811722734,0.746996317437637,0.00197201550376581,0.10025029187366
"AXP",16,0.460533244788787,0.738202156918537,0.00130188017410567,0.0859985948830585
"AXP",17,0.458510784852886,0.735904165413501,0.000859471938477568,0.0737729355559473
"AXP",18,0.464227052240091,0.731918569336589,0.000567403995945965,0.063285290043897
"AXP",19,0.492865680406546,0.729568949960344,0.000374587325312485,0.0542885803006018
"AXP",20,0.46233575643202,0.730708536252585,0.000247294106645882,0.0465708531794761
"AXP",21,0.450043570979284,0.723552049743579,0.000163257993662144,0.0399502870374431
"AXP",22,0.462137263621742,0.72565487461631,0.000107779246566337,0.0342709082056815
"AXP",23,0.452798662914772,0.714503701709209,7.11534285693043e-05,0.029398916411826
"AXP",24,0.478275573899444,0.713152193405405,4.69738893011372e-05,0.0252195325843816
"AXP",25,0.451335092740214,0.70712481841433,3.10111026333227e-05,0.021634294776893
"AXP",26,0.452252200563798,0.703331563174143,2.04728307756111e-05,0.018558738506651
"AXP",27,0.440098272798168,0.70326109209587,1.35157012932662e-05,0.015920406859119
"AXP",28,0.440935663701187,0.699774264978949,8.9227612659415e-06,0.0136571434782084
"AXP",29,0.445451433347541,0.700159339430691,5.89060581330338e-06,0.011715628227022
"AXP",30,0.434449178134731,0.692345908189878,3.88884514709273e-06,0.010050121020754
"AXP",31,0.423939209945737,0.692942098601884,2.56732788738172e-06,0.00862138423775125
"AXP",32,0.444805024786352,0.690528867811763,1.69489198772942e-06,0.00739575832186042
"AXP",33,0.424439479356785,0.692958284224533,1.11892947690412e-06,0.00634436879820989
"AXP",34,0.397723734823554,0.685211228114061,7.38692013030388e-07,0.00544244602054195
"AXP",35,0.382520198422921,0.68773740260421,4.87667812295596e-07,0.00466874162404785
"AXP",36,0.386099654231702,0.689853463887713,3.21947294615448e-07,0.00400502793594017
"AXP",37,0.39768436111891,0.689858515807691,2.12542345213015e-07,0.00343566855039498
"AXP",38,0.418549466643171,0.688425380974996,1.40315664284761e-07,0.00294724995105489
"AXP",39,0.434794019095655,0.684152926456847,9.26332379740215e-08,0.00252826550250153
"AXP",40,0.409236684568607,0.683132143084601,6.11543751817851e-08,0.00216884436586432
"AXP",41,0.426287505662016,0.680830073093276,4.0372739695479e-08,0.00186051895209869
"AXP",42,0.424209213253849,0.679471643544309,2.66531724945886e-08,0.0015960254343741
"AXP",43,0.372021194659552,0.673215862725199,1.75958235528377e-08,0.00136913261985084
"AXP",44,0.407899205258504,0.676366937729989,1.16163659904073e-08,0.00117449514924225
"AXP",45,0.379391541232104,0.668784749628244,7.6688629218113e-09,0.00100752756569619
"AXP",46,0.375954717259592,0.667602230812157,5.06281039716709e-09,0.000864296286189534
"AXP",47,0.380400755782467,0.668816419997207,3.34235327701087e-09,0.000741426930393556
"AXP",48,0.380225691016353,0.669798717467866,2.20654627607549e-09,0.000636024823774683
"AXP",49,0.336069261762683,0.663509557275518,1.4567121022039e-09,0.00054560680206597
"AXP",50,0.315036643923747,0.660672812199865,9.61688486534472e-10,0.000468042710493501
"AXP",51,0.325478617471344,0.663533944877874,6.34885056377124e-10,0.000401505219540163
"AXP",52,0.30308334934861,0.660784790487405,4.19136799966811e-10,0.00034442677495825
"AXP",53,0.322371275701844,0.664340951370329,2.76704665390748e-10,0.000295462667817883
"AXP",54,0.317349419205491,0.662560254658584,1.82674181448798e-10,0.000253459354559884
"AXP",55,0.326994807838007,0.662896094787746,1.20597375981591e-10,0.000217427280706441
"AXP",56,0.329986332032518,0.66336116868436,7.96156686089861e-11,0.00018651756798437
"AXP",57,0.387752129552694,0.663315576664608,5.25604693838733e-11,0.000160002015633788
"AXP",58,0.327680957467064,0.661986356759713,3.46992368477236e-11,0.000137255944753796
"AXP",59,0.353445807195858,0.668635043656751,2.29076538305011e-11,0.000117743481515733
"AXP",60,0.36259874579394,0.661418576976867,1.51231165780667e-11,0.000101004932531801
"AXP",61,0.362293055664322,0.663505016951115,9.98394059584024e-12,8.66459549558211e-05
"AXP",62,0.361720702186985,0.664097997929912,6.5911724813279e-12,7.43282661749457e-05
"AXP",63,0.348823343129427,0.665377052985601,4.35134346619758e-12,6.37616742223051e-05
"AXP",64,0.353531108442124,0.661803751452491,2.87265885006938e-12,5.46972411553676e-05
"AXP",65,0.347785989932778,0.657316846139749,1.89646460523906e-12,4.69214183363124e-05
"AXP",66,0.346903389307288,0.650588123240131,1.25200317428492e-12,4.02510154476993e-05
"AXP",67,0.351063536757156,0.64968642901618,8.2654426773334e-13,3.4528884718668e-05
"AXP",68,0.347339010833577,0.647971301615678,5.45665890114886e-13,2.96202186865129e-05
"AXP",69,0.345613750706095,0.642716943509777,3.60236317954759e-13,2.54093742727378e-05
"AXP",70,0.354364190773892,0.641795493876539,2.37819895149173e-13,2.17971483521169e-05
"AXP",71,0.358251249341089,0.641776381085062,1.57003332839602e-13,1.86984406299983e-05
"AXP",72,0.339681265733671,0.643827898663166,1.03650060510206e-13,1.60402487676611e-05
"AXP",73,0.34677518064043,0.641672205585435,6.84274330325529e-14,1.37599485229629e-05
"AXP",74,0.350613899359666,0.640454344236813,4.51742485086484e-14,1.18038183881731e-05
"AXP",75,0.328756870542294,0.633312311573899,2.98230203572052e-14,1.01257739669924e-05
"AXP",76,0.314950216092364,0.632667144378615,1.96884856436738e-14,8.68628227399305e-06
"AXP",77,0.300145049894174,0.625861369667815,1.29978943211732e-14,7.45143037850139e-06
"AXP",78,0.290316125937234,0.620844710249249,8.58091677755169e-15,6.3921264511393e-06
"AXP",79,0.31339449255183,0.623714569873619,5.66492778936689e-15,5.48341439050957e-06
"AXP",80,0.338863912976043,0.626245396357022,3.73985760387453e-15,4.70388588334142e-06
"AXP",81,0.338941447568429,0.628437437754545,2.46896967045387e-15,4.03517604684305e-06
"AXP",82,0.335565870298369,0.630771165872265,1.62995811051891e-15,3.46153077111842e-06
"AXP",83,0.333273661285062,0.623205577358245,1.07606159518273e-15,2.96943556868456e-06
"AXP",84,0.315301016763132,0.619934046888583,7.10391604026296e-16,2.54729718716903e-06
"AXP",85,0.323863037947223,0.621339081065711,4.68984520338129e-16,2.18517048431319e-06
"AXP",86,0.344634632660016,0.614780678653152,3.09613006502598e-16,1.87452413073963e-06
"AXP",87,0.356734234006827,0.607512281847578,2.04399526292392e-16,1.60803962068414e-06
"AXP",88,0.360546201148336,0.613760203913918,1.34939958823091e-16,1.37943885559357e-06
"AXP",89,0.362252056710342,0.610826366403659,8.90843184300243e-17,1.18333623863803e-06
"AXP",90,0.33741794024254,0.607631357197533,5.88114585135321e-17,1.0151117956377e-06
"AXP",91,0.305602593757895,0.605555019701719,3.88259989349954e-17,8.70802333264802e-07
"AXP",92,0.32432268459125,0.608858544078503,2.56320491176631e-17,7.47008070321021e-07
"AXP",93,0.323349743103526,0.609728872486917,1.69217009218561e-17,6.40812542420057e-07
"AXP",94,0.326474397631415,0.609518272689457,1.11713254283453e-17,5.49713893112811e-07
"AXP",95,0.331005807133517,0.610998536121509,7.37505717671704e-18,4.71565932745366e-07
"AXP",96,0.307356453009492,0.605983977209772,4.8688464684626e-18,4.04527576457617e-07
"AXP",97,0.308174828185697,0.602840449323083,3.21430266443211e-18,3.47019470134277e-07
"AXP",98,0.310996186998761,0.604926935388044,2.12201014870731e-18,2.97686782460654e-07
"AXP",99,0.317214236147867,0.602187201231859,1.40090325688492e-18,2.55367286502648e-07
"BA",0,1,1,1,1
"BA",1,0.537465752692723,0.750349783820098,0.537421443517695,0.750592680384967
"BA",2,0.564807037419888,0.703638624380428,0.288821807952643,0.563389371847488
"BA",3,0.456831299299167,0.683265014548449,0.1552190329493,0.422875938715409
"BA",4,0.479106638700593,0.665622298891393,0.0834180367490332,0.317407584310708
"BA",5,0.417479352272523,0.647466913765263,0.0448306417250775,0.238243809482291
"BA",6,0.417077366344092,0.638219218421717,0.0240929481897157,0.178824059544438
"BA",7,0.40778171362328,0.628779768056111,0.0129480669947141,0.134224030170781
"BA",8,0.4331469508427,0.618937413479522,0.00695856885506305,0.100747574577959
"BA",9,0.418050527088503,0.611904086530966,0.00373968411890526,0.0756203920447546
"BA",10,0.47193372240703,0.612366444160887,0.00200978643748226,0.0567601127566343
"BA",11,0.410217355500676,0.605712865032202,0.001080102328394,0.0426037251729551
"BA",12,0.471039647756366,0.595270835343025,0.000580470152472327,0.0319780442719528
"BA",13,0.399670855115409,0.585690737314725,0.000311957107260614,0.0240024859635542
"BA",14,0.405117279345036,0.577702054978846,0.000167652438899604,0.0180160902752867
"BA",15,0.39473017053548,0.576768268058154,9.01000157226871e-05,0.013522745489785
"BA",16,0.377663965712606,0.56855173215057,4.84216805106535e-05,0.0101500737833414
"BA",17,0.363838721277044,0.567513770919785,2.6022849437588e-05,0.00761857108714341
"BA",18,0.365789522301151,0.569985708809642,1.39852373091922e-05,0.00571844369300238
"BA",19,0.353347737074355,0.558165434466437,7.51596642264358e-06,0.00429222197916116
"BA",20,0.337252783282091,0.550105813419547,4.03924152428763e-06,0.00322171040014584
"BA",21,0.317779722057929,0.538071850263244,2.17077501069927e-06,0.00241819224466959
"BA",22,0.303248391479362,0.537575185094467,1.16662103980214e-06,0.00181507739861269
"BA",23,0.298333103550481,0.535691643739854,6.26967163248581e-07,0.00136238380973087
"BA",24,0.301843296140499,0.528795372296747,3.36945597911247e-07,0.00102259531545897
"BA",25,0.335490358179747,0.524731207635272,1.81081789616395e-07,0.000767552558779462
"BA",26,0.312986105754821,0.524212846804116,9.73172367704104e-08,0.000576119332430616
"BA",27,0.344975521043722,0.531682109150382,5.23003698643072e-08,0.000432430953950694
"BA",28,0.334334883481653,0.526253606588579,2.81073402689853e-08,0.000324579508807279
"BA",29,0.324207212404302,0.513164278007012,1.51054873808011e-08,0.000243627003513692
"BA",30,0.303232458834721,0.50599768459926,8.11801283322846e-09,0.000182864645581499
"BA",31,0.28511688186341,0.504823435728954,4.36279417532881e-09,0.000137256864474665
"BA",32,0.268181182458791,0.508513649393971,2.3446591434758e-09,0.000103023997807275
"BA",33,0.253966642910509,0.510382852635611,1.26007010144373e-09,7.73290586581371e-05
"BA",34,0.245202446923484,0.504541384161565,6.77188692851375e-10,5.80426254098575e-05
"BA",35,0.242374691552166,0.503092660429983,3.63935724846046e-10,4.35663697829655e-05
"BA",36,0.239289713506318,0.505921925755318,1.95586862594421e-10,3.27005982700387e-05
"BA",37,0.252930832033441,0.506861854467466,1.05112574028591e-10,2.45448297057003e-05
"BA",38,0.249196949558602,0.499385909623837,5.64897512663057e-11,1.84231695183942e-05
"BA",39,0.24481264008226,0.49880235080549,3.03588036694935e-11,1.38282961899981e-05
"BA",40,0.233170191203679,0.49044303023369,1.63154720915295e-11,1.03794179024079e-05
"BA",41,0.228126139374916,0.483628030841183,8.76828456310244e-12,7.79071510420404e-06
"BA",42,0.210340463497705,0.48458982504046,4.71226414707643e-12,5.84765373218015e-06
"BA",43,0.211332721047174,0.48096419416735,2.5324718001585e-12,4.38920608880025e-06
"BA",44,0.204454820872532,0.475668893317222,1.36100465050903e-12,3.2945059629546e-06
"BA",45,0.209506986917071,0.478567361275621,7.3143308391086e-13,2.47283206127835e-06
"BA",46,0.230997785197762,0.484283505977574,3.93087823791973e-13,1.8560896450168e-06
"BA",47,0.205508270286474,0.485308464062527,2.11253825691512e-13,1.39316730168794e-06
"BA",48,0.197388573534994,0.478151926771453,1.13532335951768e-13,1.04570117919864e-06
"BA",49,0.18095212203158,0.469916412191447,6.10147118731348e-14,7.84895650976428e-07
"BA",50,0.198232917971485,0.474897954540718,3.27906145306763e-14,5.891369304889e-07
"BA",51,0.171695109944273,0.465349743280954,1.76223793949084e-14,4.42201867769435e-07
"BA",52,0.172164739443934,0.462962559317224,9.47064457262813e-15,3.31913485200299e-07
"BA",53,0.173844096722674,0.467510295157173,5.08972747726483e-15,2.49131832512408e-07
"BA",54,0.184919429198546,0.473264773476091,2.73532868794334e-15,1.86996529934707e-07
"BA",55,0.194151926904146,0.470169183895847,1.47002429196987e-15,1.40358226626379e-07
"BA",56,0.196187911936436,0.472396485644758,7.90022576996525e-16,1.05351857537575e-07
"BA",57,0.189771150747585,0.462140248105574,4.24575073741041e-16,7.90763331326633e-08
"BA",58,0.198470901020165,0.463058326353334,2.28175749011542e-16,5.93541168410603e-08
"BA",59,0.18077479579566,0.452303714483504,1.22626540409514e-16,4.4550765651614e-08
"BA",60,0.18827650829046,0.458216266625545,6.5902132360462e-17,3.34394786036474e-08
"BA",61,0.178101841958559,0.451838508776852,3.54172191040537e-17,2.50994278757874e-08
"BA",62,0.172258770166374,0.451546981448499,1.9033973016283e-17,1.88394468454164e-08
"BA",63,0.172788418615884,0.461493491854805,1.02292652542876e-17,1.41407509046712e-08
"BA",64,0.177608061549851,0.463372792718915,5.49742649908467e-18,1.06139441241933e-08
"BA",65,0.177789475788431,0.4576756349729,2.95443488477051e-18,7.96674876963453e-09
"BA",66,0.181264563428191,0.456128925920708,1.5877766605524e-18,5.97978331295362e-09
"BA",67,0.171986659159209,0.446332707726063,8.53305224897775e-19,4.48838158499115e-09
"BA",68,0.16544632868044,0.442658144433658,4.58584525725753e-19,3.36894636446903e-09
"BA",69,0.165216384467752,0.442521918743697,2.46453157790412e-19,2.52870648178e-09
"BA",70,0.159922765798235,0.440393585440655,1.32449211819217e-19,1.89802857606609e-09
"BA",71,0.174991796591512,0.436321825451729,7.11810466086646e-20,1.42464635635671e-09
"BA",72,0.149860886436338,0.427261277738043,3.82542208195289e-20,1.06932912721846e-09
"BA",73,0.168011217167792,0.435155879567693,2.05586385734758e-20,8.02630615812618e-10
"BA",74,0.161693267809442,0.43697799204548,1.10486532189159e-20,6.02448665281829e-10
"BA",75,0.178286545771887,0.428103258108853,5.93778316183623e-21,4.52193558468234e-10
"BA",76,0.153797113507826,0.415764219042563,3.19109199812909e-21,3.39413175103488e-10
"BA",77,0.154367355781901,0.412698033755026,1.7149612680323e-21,2.54761044858899e-10
"BA",78,0.149596987825508,0.405420846663431,9.21656960242854e-22,1.91221775518316e-10
"BA",79,0.151118970616766,0.410732517615823,4.95318214001845e-22,1.43529665034265e-10
